INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;UPYD;IU;EQUO;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28022;Boadilla del Monte;44.709;30.019;24.469;81,51;15.899;3.678;2.737;910;413;18.636;5.001;76,16;20,44
28023;El Boalo;6.638;4.350;3.425;78,74;1.913;681;341;286;90;2.254;1.057;65,81;30,86
28024;Braojos;191;156;132;84,62;74;19;13;18;3;87;40;65,91;30,30
28025;Brea de Tajo;556;426;336;78,87;225;80;9;15;0;234;95;69,64;28,27
28026;Brunete;9.814;5.852;4.506;77,00;2.668;837;435;332;75;3.103;1.244;68,86;27,61
28027;Buitrago del Lozoya;2.068;1.232;937;76,06;481;228;119;60;10;600;298;64,03;31,80
28028;Bustarviejo;2.125;1.615;1.204;74,55;524;285;87;175;51;611;511;50,75;42,44
28029;Cabanillas de la Sierra;743;538;416;77,32;240;94;33;24;17;273;135;65,63;32,45
28030;La Cabrera;2.490;1.591;1.268;79,70;620;324;120;95;41;740;460;58,36;36,28
28031;Cadalso de los Vidrios;2.944;1.981;1.524;76,93;838;499;65;71;11;903;581;59,25;38,12
28032;Camarma de Esteruelas;6.610;4.469;3.412;76,35;1.790;834;399;254;23;2.189;1.111;64,16;32,56
28033;Campo Real;5.278;3.581;2.712;75,73;1.690;547;237;159;13;1.927;719;71,05;26,51
28034;Canencia;504;356;278;78,09;186;60;14;9;5;200;74;71,94;26,62
28035;Carabaña;1.991;1.314;1.058;80,52;566;311;60;80;18;626;409;59,17;38,66
28036;Casarrubuelos;3.150;2.301;1.809;78,62;917;340;192;253;22;1.109;615;61,30;34,00
28037;Cenicientos;2.102;1.598;1.263;79,04;639;508;34;56;0;673;564;53,29;44,66
28038;Cercedilla;7.089;4.998;3.659;73,21;1.683;1.026;295;404;92;1.978;1.522;54,06;41,60
28039;Cervera de Buitrago;181;139;103;74,10;54;31;6;9;1;60;41;58,25;39,81
28040;Ciempozuelos;22.656;15.089;9.976;66,11;4.845;2.636;950;1.015;119;5.795;3.770;58,09;37,79
28041;Cobeña;6.164;4.006;3.190;79,63;1.837;612;371;201;41;2.208;854;69,22;26,77
28042;Colmenar del Arroyo;1.446;1.092;814;74,54;536;132;61;48;13;597;193;73,34;23,71
28043;Colmenar de Oreja;8.397;5.944;4.199;70,64;2.538;994;272;237;21;2.810;1.252;66,92;29,82
28044;Colmenarejo;8.525;5.403;4.245;78,57;2.242;1.002;417;328;119;2.659;1.449;62,64;34,13
28045;Colmenar Viejo;44.437;30.286;23.148;76,43;11.881;5.463;2.651;1.762;511;14.532;7.736;62,78;33,42
28046;Collado Mediano;6.527;4.207;3.297;78,37;1.726;760;329;251;127;2.055;1.138;62,33;34,52
28047;Collado Villalba;59.900;38.407;28.739;74,83;13.927;7.193;3.503;2.496;551;17.430;10.240;60,65;35,63
28048;Corpa;593;489;398;81,39;168;141;22;48;3;190;192;47,74;48,24
28049;Coslada;91.218;59.506;46.919;78,85;19.291;14.555;5.226;5.137;679;24.517;20.371;52,25;43,42
28050;Cubas de la Sagra;4.743;3.576;2.706;75,67;1.611;499;284;186;26;1.895;711;70,03;26,27
28051;Chapinería;2.134;1.469;1.147;78,08;669;228;100;77;24;769;329;67,04;28,68
28052;Chinchón;5.344;3.799;2.753;72,47;1.812;558;151;133;29;1.963;720;71,30;26,15
28053;Daganzo de Arriba;8.989;6.035;4.854;80,43;2.465;1.140;600;391;62;3.065;1.593;63,14;32,82
28054;El Escorial;15.108;10.459;7.798;74,56;4.199;1.731;800;541;246;4.999;2.518;64,11;32,29
