INE_NUM;municipio;población;total_censo;total_votantes;participación;UCD;PSOE;PCE;CDS;UN;ORT;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28162;Valdeolmos-Alalpardo;400;311;252;81,03;200;23;12;3;8;1;211;36;83,73;14,29
28163;Valdepiélagos;294;225;187;83,11;80;58;12;21;5;5;106;75;56,68;40,11
28164;Valdetorres de Jarama;988;668;553;82,78;270;152;31;58;8;9;336;192;60,76;34,72
28165;Valdilecha;1.398;1.030;852;82,72;357;258;119;30;74;2;461;379;54,11;44,48
28166;Valverde de Alcalá;224;186;113;60,75;37;26;29;0;10;2;47;57;41,59;50,44
28167;Velilla de San Antonio;1.552;1.038;888;85,55;251;312;214;16;58;5;325;531;36,6;59,80
28168;El Vellón;901;697;480;68,87;226;99;8;76;23;3;325;110;67,71;22,92
28169;Venturada;128;102;86;84,31;50;28;2;0;0;3;50;33;58,14;38,37
28170;Villaconejos;2.764;1.948;1.614;82,85;185;356;705;10;329;5;524;1.066;32,47;66,05
28171;Villa del Prado;2.747;1.993;1.462;73,36;778;449;119;38;44;5;860;573;58,82;39,19
28172;Villalbilla;750;569;440;77,33;176;180;27;18;28;1;222;208;50,45;47,27
28173;Villamanrique de Tajo;691;510;384;75,29;145;170;11;24;21;3;190;184;49,48;47,92
28174;Villamanta;925;669;548;81,91;317;123;14;44;25;4;386;141;70,44;25,73
28175;Villamantilla;295;216;175;81,02;121;33;3;13;1;0;135;36;77,14;20,57
28176;Villanueva de la Cañada;1.136;745;563;75,57;277;110;22;108;33;3;418;135;74,25;23,98
28177;Villanueva del Pardillo;720;531;419;78,91;141;177;43;14;13;4;168;224;40,1;53,46
28178;Villanueva de Perales;375;268;222;82,84;113;92;6;2;3;1;118;99;53,15;44,59
28179;Villar del Olmo;468;377;360;95,49;184;155;12;0;0;0;184;167;51,11;46,39
28180;Villarejo de Salvanés;4.044;2.876;2.469;85,85;713;1.426;112;45;97;16;855;1.554;34,63;62,94
28181;Villaviciosa de Odón;4.785;3.097;2.267;73,2;979;701;223;177;72;25;1.228;949;54,17;41,86
28182;Villavieja del Lozoya;192;147;112;76,19;68;20;2;10;1;2;79;24;70,54;21,43
28183;Zarzalejo;901;640;420;65,63;209;100;83;6;2;4;217;187;51,67;44,52
28901;Lozoyuela-Navas-Sieteiglesias;691;517;338;65,38;182;82;23;13;13;3;208;108;61,54;31,95
28902;Puentes Viejas;488;380;296;77,89;205;43;6;6;6;3;217;52;73,31;17,57
28903;Tres Cantos;;;;;;;;;;;;;;
