INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;VOX;CIUDADANOS;PODEMOS;UNIDAD POPULAR (IU);suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28028;Bustarviejo;2.348;1.730;1.348;77,92;373;186;3;178;424;121;554;731;41,10;54,23
28029;Cabanillas de la Sierra;732;530;426;80,38;162;54;1;83;82;24;246;160;57,75;37,56
28030;La Cabrera;2.590;1.716;1.343;78,26;467;234;5;198;322;68;670;624;49,89;46,46
28031;Cadalso de los Vidrios;2.760;2.055;1.543;75,09;649;488;2;144;182;44;795;714;51,52;46,27
28032;Camarma de Esteruelas;7.048;4.749;3.667;77,22;1.123;716;21;832;644;185;1.976;1.545;53,89;42,13
28033;Campo Real;5.775;3.824;2.857;74,71;1.164;494;7;584;432;83;1.755;1.009;61,43;35,32
28034;Canencia;476;352;270;76,70;135;49;1;33;34;11;169;94;62,59;34,81
28035;Carabaña;1.978;1.362;1.047;76,87;392;251;4;120;192;44;516;487;49,28;46,51
28036;Casarrubuelos;3.460;2.514;1.975;78,56;517;287;5;442;477;168;964;932;48,81;47,19
28037;Cenicientos;2.073;1.566;1.176;75,10;419;468;3;85;125;51;507;644;43,11;54,76
28038;Cercedilla;6.831;4.935;3.863;78,28;1.240;704;11;598;874;290;1.849;1.868;47,86;48,36
28039;Cervera de Buitrago;174;130;97;74,62;36;26;0;7;16;11;43;53;44,33;54,64
28040;Ciempozuelos;23.739;15.691;10.856;69,19;3.109;2.185;40;2.017;2.400;706;5.166;5.291;47,59;48,74
28041;Cobeña;6.921;4.452;3.573;80,26;1.196;462;16;1.021;578;160;2.233;1.200;62,50;33,59
28042;Colmenar del Arroyo;1.581;1.153;883;76,58;412;110;5;128;155;29;545;294;61,72;33,30
28043;Colmenar de Oreja;8.409;5.922;4.082;68,93;1.574;955;10;556;689;145;2.140;1.789;52,43;43,83
28044;Colmenarejo;8.934;5.766;4.628;80,26;1.418;701;36;1.008;1.021;251;2.462;1.973;53,20;42,63
28045;Colmenar Viejo;47.445;33.019;25.531;77,32;8.428;4.154;140;5.353;5.057;1.287;13.921;10.498;54,53;41,12
28046;Collado Mediano;6.780;4.432;3.570;80,55;1.343;514;12;692;707;186;2.047;1.407;57,34;39,41
28047;Collado Villalba;62.587;40.783;31.376;76,93;9.479;5.354;165;6.365;6.882;1.750;16.009;13.986;51,02;44,58
28048;Corpa;671;499;406;81,36;113;87;2;44;108;35;159;230;39,16;56,65
28049;Coslada;88.847;58.688;48.037;81,85;11.756;10.229;107;8.574;12.108;3.273;20.437;25.610;42,54;53,31
28050;Cubas de la Sagra;5.738;4.077;3.039;74,54;1.063;429;20;718;578;109;1.801;1.116;59,26;36,72
28051;Chapinería;2.140;1.542;1.242;80,54;448;226;7;238;232;49;693;507;55,80;40,82
28052;Chinchón;5.447;3.883;2.813;72,44;1.258;487;9;479;361;107;1.746;955;62,07;33,95
