INE_NUM;municipio;población;total_censo;total_votantes;participacion;PP;PSOE;VOX;CIUDADANOS;PODEMOS;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28158;Valdemanco;927;678;547;80,68;147;83;106;107;88;360;171;65,81;31,26
28159;Valdemaqueda;761;594;493;83,00;129;125;84;87;49;300;174;60,85;35,29
28160;Valdemorillo;12.280;8.630;6.922;80,21;1.257;1.463;1.338;1.556;1.024;4.151;2.487;59,97;35,93
28161;Valdemoro;74.745;51.560;41.390;80,28;5.358;9.694;8.251;9.892;6.264;23.501;15.958;56,78;38,56
28162;Valdeolmos-Alalpardo;4.039;2.771;2.264;81,70;430;421;495;590;249;1.515;670;66,92;29,59
28163;Valdepiélagos;574;429;361;84,15;62;111;41;46;63;149;174;41,27;48,20
28164;Valdetorres de Jarama;4.384;3.202;2.553;79,73;391;581;578;574;313;1.543;894;60,44;35,02
28165;Valdilecha;2.840;1.910;1.443;75,55;383;329;297;265;124;945;453;65,49;31,39
28166;Valverde de Alcalá;432;347;287;82,71;52;85;44;58;46;154;131;53,66;45,64
28167;Velilla de San Antonio;12.193;8.609;7.086;82,31;804;2.017;996;1.678;1.279;3.478;3.296;49,08;46,51
28168;El Vellón;1.942;1.329;976;73,44;195;245;196;162;145;553;390;56,66;39,96
28169;Venturada;2.081;1.553;1.280;82,42;211;227;296;339;158;846;385;66,09;30,08
28170;Villaconejos;3.363;2.488;1.840;73,95;314;511;352;348;252;1.014;763;55,11;41,47
28171;Villa del Prado;6.409;4.382;3.202;73,07;822;819;580;518;348;1.920;1.167;59,96;36,45
28172;Villalbilla;13.421;9.751;7.994;81,98;1.257;1.489;1.694;2.134;1.062;5.085;2.551;63,61;31,91
28173;Villamanrique de Tajo;699;519;417;80,35;87;140;78;61;39;226;179;54,20;42,93
28174;Villamanta;2.501;1.840;1.363;74,08;286;319;276;273;154;835;473;61,26;34,70
28175;Villamantilla;1.420;935;775;82,89;150;156;163;151;118;464;274;59,87;35,35
28176;Villanueva de la Cañada;21.000;13.837;11.415;82,50;2.853;1.820;2.490;2.837;1.004;8.180;2.824;71,66;24,74
28177;Villanueva del Pardillo;17.127;10.722;9.093;84,81;1.649;1.815;1.836;2.487;987;5.972;2.802;65,68;30,81
28178;Villanueva de Perales;1.547;1.135;949;83,61;143;229;225;170;148;538;377;56,69;39,73
28179;Villar del Olmo;1.967;1.450;1.115;76,90;197;245;208;244;172;649;417;58,21;37,40
28180;Villarejo de Salvanés;7.291;5.317;4.266;80,23;673;1.494;572;899;501;2.144;1.995;50,26;46,77
28181;Villaviciosa de Odón;27.596;20.669;17.314;83,77;4.266;3.117;3.444;4.156;1.763;11.866;4.880;68,53;28,19
28182;Villavieja del Lozoya;258;198;169;85,35;25;42;34;25;41;84;83;49,70;49,11
28183;Zarzalejo;1.620;1.124;857;76,25;156;209;103;105;236;364;445;42,47;51,93
28901;Lozoyuela-Navas-Sieteiglesias;1.266;868;653;75,23;123;167;105;101;125;329;292;50,38;44,72
28902;Puentes Viejas;642;523;418;79,92;100;64;72;79;90;251;154;60,05;36,84
28903;Tres Cantos;46.750;35.343;30.490;86,27;5.058;7.661;4.059;7.795;4.898;16.912;12.559;55,47;41,19
;TOTAL;6578079;4748700;3787554;;700811;1024711;520453;786265;609567;2007529;1634278;;
