INE_NUM;municipio;población;total_censo;total_votantes;participación;PSOE;PP;UCD;PCE;CDS;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28030;La Cabrera;800;520;450;86,54;184;178;36;24;7;221;208;49,11;46,22
28031;Cadalso de los Vidrios;2.164;1.652;1.344;81,36;632;327;132;149;20;479;781;35,64;58,11
28032;Camarma de Esteruelas;1.246;804;754;93,78;287;188;12;205;22;222;492;29,44;65,25
28033;Campo Real;2.025;1.493;1.366;91,49;563;362;353;14;11;726;577;53,15;42,24
28034;Canencia;466;376;307;81,65;120;112;47;12;3;162;132;52,77;43
28035;Carabaña;1.101;860;756;87,91;346;232;66;65;4;302;411;39,95;54,37
28036;Casarrubuelos;562;407;341;83,78;144;145;12;9;5;162;153;47,51;44,87
28037;Cenicientos;2.404;1.859;1.319;70,95;806;361;34;87;11;406;893;30,78;67,7
28038;Cercedilla;3.719;2.720;2.305;84,74;1.100;597;393;30;50;1.040;1.130;45,12;49,02
28039;Cervera de Buitrago;100;83;68;81,93;20;10;24;3;6;40;23;58,82;33,82
28040;Ciempozuelos;10.260;7.418;5.429;73,19;3.112;1.279;147;435;92;1.518;3.547;27,96;65,33
28041;Cobeña;582;407;372;91,4;224;88;19;20;0;107;244;28,76;65,59
28042;Colmenar del Arroyo;414;331;287;86,71;58;165;26;5;8;199;63;69,34;21,95
28043;Colmenar de Oreja;5.037;3.636;3.056;84,05;1.584;885;262;118;34;1.181;1.702;38,65;55,69
28044;Colmenarejo;1.544;496;436;87,9;216;128;29;41;12;169;257;38,76;58,94
28045;Colmenar Viejo;19.839;13.365;11.650;87,17;6.253;3.876;431;276;321;4.628;6.529;39,73;56,04
28046;Collado Mediano;1.574;1.002;909;90,72;436;333;50;38;36;419;474;46,09;52,15
28047;Collado Villalba;18.762;10.973;9.904;90,26;5.566;2.781;268;455;405;3.454;6.021;34,87;60,79
28048;Corpa;369;283;274;96,82;99;110;10;37;7;127;136;46,35;49,64
28049;Coslada;53.730;33.313;29.152;87,51;18.816;4.343;322;3.960;679;5.344;22.776;18,33;78,13
28050;Cubas de la Sagra;765;562;412;73,31;153;195;35;3;15;245;156;59,47;37,86
28051;Chapinería;601;461;408;88,5;155;138;96;0;8;242;155;59,31;37,99
28052;Chinchón;3.954;3.113;2.575;82,72;799;1.199;204;125;24;1.427;924;55,42;35,88
28053;Daganzo de Arriba;1.068;715;656;91,75;318;207;19;39;12;238;357;36,28;54,42
28054;El Escorial;5.956;3.988;3.080;77,23;1.686;796;107;142;154;1.057;1.828;34,32;59,35
28055;Estremera;1.108;843;745;88,37;290;362;43;6;19;424;296;56,91;39,73
28056;Fresnedillas de la Oliva;442;324;286;88,27;93;163;7;1;5;175;94;61,19;32,87
28057;Fresno de Torote;108;74;68;91,89;19;34;6;0;8;48;19;70,59;27,94
28058;Fuenlabrada;78.096;47.569;40.701;85,56;27.381;6.656;464;2.094;1.025;8.145;29.475;20,01;72,42
28059;Fuente el Saz de Jarama;1.423;1.001;901;90,01;418;351;43;52;18;412;470;45,73;52,16
28060;Fuentidueña de Tajo;1.196;901;803;89,12;517;190;16;55;0;206;572;25,65;71,23
28061;Galapagar;6.113;3.998;3.657;91,47;1.861;1.069;363;124;93;1.525;1.985;41,7;54,28
