NATLEVNAME;INE_NUM;part_num;derecha_num;izquierda_num;densidad_2023;clase_densidad;dist_madrid_km;corona_madrid;renta_2023;Renta_2023_Final_ €;clase_renta
Municipio;28015;77,24;62,97;34;167.432.864.603.251;Urbana;277.497.874.359.388;20-40 km;17420;17420;Media
Municipio;28016;70,65;35,38;60;375.751.663.951.387;Muy baja;561.059.408.441.531;40-60 km;13811;13811;Muy baja
Municipio;28017;76,78;59,47;38;853.566.033.487.633;Baja;332.566.232.911.135;20-40 km;16503;16503;Baja
Municipio;28018;77,1;59,87;38;202.855.170.111.075;Intermedia;33.563.269.183.881;20-40 km;17515;17515;Media
Municipio;28019;75,81;48,82;47;734.420.947.928.428;Baja;476.977.974.974.971;40-60 km;13173;13173;Muy baja
Municipio;28020;63,69;40,35;56;155.195.870.988.614;Muy baja;581.754.271.202.671;40-60 km;19798;19798;Media
Municipio;28021;69,89;47,93;48;28.180.675.970.314;Muy baja;476.944.875.607.149;40-60 km;15781;15781;Baja
Municipio;28022;82,47;75,83;22;131.861.412.028.728;Urbana;173.761.665.097.012;0-20 km;26668;26668;Muy alta
Municipio;28023;79,25;55,44;42;208.137.087.081.366;Intermedia;330.966.047.473.071;20-40 km;17915;17915;Media
Municipio;28024;85,39;63,16;32;873.883.709.313.333;Muy baja;660.230.100.224.272;>60 km;17607;17607;Media
Municipio;28025;74,25;73,44;25;120.862.853.904.145;Muy baja;548.766.822.884.258;40-60 km;12793;12793;Muy baja
Municipio;28026;75,55;64,37;33;220.418.743.210.216;Intermedia;264.293.741.702.612;20-40 km;15529;15529;Baja
Municipio;28027;74,21;54,51;43;750.660.501.692.631;Baja;583.451.811.973.123;40-60 km;14627;14627;Baja
Municipio;28028;75,47;39,67;57;481.754.613.120.488;Muy baja;418.370.624.748.797;40-60 km;16087;16087;Baja
Municipio;28029;79,57;55,01;42;632.498.074.755.667;Baja;4.030.088.472.109;40-60 km;17287;17287;Media
Municipio;28030;73,81;45,91;50;126.603.709.842.647;Baja;446.703.934.214.776;40-60 km;15209;15209;Baja
Municipio;28031;73,5;54,8;43;66.690.973.778.957;Baja;651.990.789.490.323;>60 km;12228;12228;Muy baja
Municipio;28032;74,98;58,5;38;215.712.360.997.627;Intermedia;292.047.870.128.573;20-40 km;15491;15491;Baja
Municipio;28033;72,61;65,71;32;107.600.188.436.954;Baja;316.627.263.770.554;20-40 km;14076;14076;Baja
Municipio;28034;77,55;59,87;38;839.084.612.268.398;Muy baja;477.518.768.995.482;40-60 km;15186;15186;Baja
Municipio;28035;69,44;52,18;45;463.562.237.895.474;Muy baja;448.448.567.486.384;40-60 km;12333;12333;Muy baja
Municipio;28036;73,27;54,52;42;741.308.270.506.325;Intermedia;345.085.501.857.487;20-40 km;13772;13772;Muy baja
Municipio;28037;75,72;50,77;47;305.977.189.047.103;Muy baja;732.023.653.532.014;>60 km;11511;11511;Muy baja
Municipio;28038;76,79;49,17;47;210.687.976.051.729;Intermedia;445.444.591.521.755;40-60 km;15770;15770;Baja
Municipio;28039;78,32;41,07;50;146.349.634.664.405;Muy baja;521.576.183.063.576;40-60 km;18596;18596;Media
Municipio;28040;63,93;50,36;46;513.252.941.090.276;Intermedia;356.517.812.794.162;20-40 km;12927;12927;Muy baja
Municipio;28041;78,06;64,47;33;362.913.973.189.536;Intermedia;196.518.661.852.506;0-20 km;19766;19766;Media
Municipio;28042;72,7;59,65;37;39.230.852.743.733;Muy baja;426.202.121.286.636;40-60 km;15331;15331;Baja
Municipio;28043;65,95;58,23;38;669.321.848.823.043;Baja;474.678.382.424.327;40-60 km;12312;12312;Muy baja
Municipio;28044;74,63;54,77;42;300.734.449.463.558;Intermedia;284.743.429.217.462;20-40 km;16340;16340;Baja
Municipio;28045;74,65;56,09;40;291.788.323.335.227;Intermedia;224.298.511.181.527;20-40 km;17736;17736;Media
Municipio;28046;78,97;56,16;41;335.687.075.251.651;Intermedia;380.786.480.514.073;20-40 km;18271;18271;Media
Municipio;28047;72,77;52,29;44;254.802.705.599.104;Urbana;314.908.473.758.207;20-40 km;14647;14647;Baja
